shy,timid,afraid,hesitant,nervous,scared,anxious,uneasy,tense,agitated,jittery,frightened,skittish,panicky,aghast,chicken,diffident,disturbed,fainthearted,intimidated,jumpy,lily-livered,mousy,nerveless,nervy,perturbed,phobic,pusillanimous,shaky,sheepish,shrinking,solicitous,spineless,timorous,tremulous,unmanly,worried,yellow,chickenhearted,quivery,aflutter,discomposed,disquieted,goose-bumpy,rabbity,weak-kneed,appalling,astounding,atrocious,awful,baleful,creepy,dire,distressing,dreadful,eerie,formidable,frightful,ghastly,ghoulish,grievous,grim,grisly,gruesome,hair-raising,hideous,horrible,lurid,macabre,monstrous,morbid,overwhelming,redoubtable,shocking,sinister,strange,sublime,terrible,tremendous,unearthly,unspeakable,bloodcurdling,horrendous,horrific,shuddersome
bashful,feeble,loath,averse,uneasy,panic-stricken,jittery,edgy,restive,,tense,yellow,dizzy,startled,alarmed,chick,backward,,weak,,spooked,,timorous,cowardly,sassy,,scared,,unsteady,shamefaced,,devoted,lily-livered,tremulous,jittery,fearful,clutched,cream,,shivering,jittery,vex,upset,jittery,unassuming,meek,horrible,confounding,appalling,frightful,noxious,ominous,horrible,grievous,rotten,frightening,great,hideous,unpleasant,frightening,heinous,stern,abominable,ghastly,cliff-hanging,odious,hideous,ghastly,cadaverous,vicious,ailing,overcoming,fearsome,horrible,baleful,wonderful,dynamite,disastrous,amazing,ghastly,ineffable,horrifying,dire,awful,ominous
coy,ambivalent,unwilling,unwilling,uptight,terror-stricken,careful,anxious,excited,,skittish,numb,excitable,horrified,confounded,cock,chary,,yellow,,agitated,,unassuming,debilitated,smart,,shy,,questionable,silly,,eager,nerveless,shuddering,nervous,pusillanimous,afraid,buff,,trembling,frightened,irk,discompose,frightened,timid,pliable,awful,mind-blowing,rotten,ugly,ominous,frightening,appalling,woeful,tragic,weird,tough,annoying,grisly,grim,tragic,gruesome,horrible,horrendous,spine-chilling,repulsive,heinous,revolting,deathly,odious,dark,shattering,,awful,baneful,offbeat,august,dire,wonderful,ghostly,horrible,,horrible,gruesome,frightening
modest,wavering,sorry,timid,tense,,scared,afraid,stressful,,panicky,terrified,fidgety,discouraged,dumbfounded,cockerel,coy,,cowed,,antsy,,self-effacing,enervated,wise,,skittish,,unclear,tame,,earnest,soft,unassertive,shy,timid,apprehensive,chrome,,,skittish,dismay,harass,skittish,self-conscious,gentle,shocking,,horrible,unpleasant,pernicious,direful,depressing,afflictive,hideous,fearful,impressive,bad,terrifying,morbid,shameful,shocking,awful,weird,,hateful,grisly,grim,dreadful,heinous,deadly,breathtaking,,disgraceful,corrupt,new,eminent,harrowing,exceptional,ghoulish,awful,,awful,abominable,atrocious
sheepish,shrinking,reluctant,reluctant,timid,,impatient,tense,firm,,spooked,alarmed,flighty,intimidated,frightened,pullet,distrustful,,cowering,,anxious,,unassertive,fearful,smart-alecky,,tense,,uncertain,timorous,,heedful,spiritless,,timorous,degrading,distraught,saffron,,,panicky,ruffle,plague,panicky,shy,obedient,frightening,,awful,ghastly,ruinous,dreadful,ugly,distressful,grievous,spectral,intimidating,disagreeable,horrible,diabolical,dire,ominous,gruesome,shocking,,awful,shameful,horrifying,frightful,gruesome,depressed,eye-opening,,ghastly,deleterious,curious,grand,awful,astounding,hair-raising,abominable,,gruesome,hideous,horrific
circumspect,Milquetoast,abashed,backward,hesitant,,keen,agitated,close,,antsy,terrorized,frivolous,frightened,overwhelmed,capon,doubtful,,unassertive,,excited,,,feeble,,,worried,,unsettled,chagrined,,impatient,squeamish,,trembling,dishonorable,fearful,sand,,,aghast,perplex,fluster,aghast,timid,pliant,terrifying,,horrifying,dire,sinister,gruesome,cataclysmic,,shameful,superstitious,tremendous,extreme,awful,fiendish,shocking,bleak,shocking,hideous,,gruesome,awful,ashen,ghostly,frightful,despondent,,,horrifying,disastrous,weird,high,gruesome,great,haunted,inconceivable,,hideous,frightful,ghastly
apprehensive,yellow,aghast,delaying,skittish,,enthusiastic,unsettled,stiff,,high-strung,affrighted,harebrained,spooked,startled,rooster,dubious,,wimpy,,sensitive,,,nervous,,,panicky,,precarious,mortified,,keen,submissive,,cowardly,effeminate,fretful,bisque,,,chicken,discombobulate,incommode,chicken,afraid,laid-back,disheartening,,bad,horrendous,threatening,hair-raising,gloomy,,dire,unearthly,arduous,great,gruesome,monstrous,glaring,austere,appalling,grim,,nasty,gruesome,bloody,hideous,infamous,diseased,,,glaring,dishonest,odd,holy,extreme,extraordinary,heavenly,shocking,,extreme,grim,horrendous
self-effacing,trembling,alarmed,diffident,shy,,thirsty,jittery,wired,,quivering,butterflies,high-strung,abashed,terrified,banty,humble,,,,tense,,,petrified,,,discomposed,,dubious,,,raring,timid,,excited,gutless,nervous,deceitful,,,diffident,disconcert,trouble,diffident,hesitant,well-behaved,heavy,,beastly,gruesome,venomous,horrible,dismal,,awful,crawly,awesome,insufferable,shocking,revolting,intolerable,barbarous,hideous,lurid,,shocking,nasty,deep,horrible,egregious,dreadful,,,burning,disquieting,bizarre,ideal,dangerous,excellent,miraculous,alarming,,awe-inspiring,abhorrent,abominable
suspicious,afraid,blanched,disinclined,edgy,,aghast,unstable,shot,,trembling,dismayed,irresponsible,aghast,thunderstruck,cock-a-doodle-do,insecure,,,,timorous,,,spineless,,,disquieted,,unsteady,,,regardful,vacillating,,fearful,ignoble,overwrought,gutless,,,disturbed,disorganize,fret,disturbed,nervous,easygoing,intimidating,,desperate,nasty,vindictive,itchy,unfortunate,,grim,,powerful,vile,hideous,terrifying,unbearable,cantankerous,grim,horrifying,,grim,grim,disgusting,offensive,terrible,frightful,,,foul,foreboding,alien,lofty,appalling,prodigious,nightmarish,beastly,,beastly,beastly,distressing
timid,apprehensive,cowardly,doubting,jittery,,antsy,troubled,wreck,,,cowed,lightheaded,alarmed,astonished,cockalorum,modest,,,,unrestful,,,timid,,,,,infirm,,,tender,weak,,jittery,mean,solicitous,lily-livered,,,fainthearted,flurry,unhinge,fainthearted,scared,shy,bad,,diabolical,hideous,woeful,nightmarish,catastrophic,,terrible,,onerous,wicked,grim,spine-chilling,damaging,churlish,lurid,abominable,,terrible,scary,distinct,scary,outrageous,grisly,,,revolting,harmful,new,majestic,frightful,vast,phantom,calamitous,,dangerous,bloodcurdling,tremendous
afraid,capricious,discouraged,half-hearted,annoyed,,disturbed,irritable,concerned,,,aghast,lively,blanched,astounded,gump,mousy,,,,,,,weak,,,,,jerry-built,,,thirsty,weak-willed,,nervous,sissy,uneasy,pusillanimous,,,intimidated,plague,concern,intimidated,anxious,timid,gross,,fiendish,shocking,,threatening,awful,,appalling,,challenging,wrong,lurid,,agonizing,crusty,disgusting,fearful,,appalling,terrible,extreme,terrible,cruel,hideous,,,sickening,hurtful,unfamiliar,noble,severe,enormous,preternatural,detestable,,desperate,detestable,alarming
reluctant,cowardly,distressed,hesitating,fussy,,fretful,anguished,moved,,,chicken,peppy,cowardly,horror-struck,heeler,reluctant,,,,,,,yellow-bellied,,,,,rattletrap,,,troubled,yellow,,quivering,womanish,uptight,treacherous,,,jumpy,fluster,,jumpy,uneasy,afraid,mean,,flagrant,horrifying,,unpleasant,shocking,,frightful,,appalling,,abhorrent,,dismal,dogged,gross,gross,,frightful,appalling,fiery,unearthly,intolerable,irascible,,,crying,ill-boding,romantic,outrageous,serious,terrible,ridiculous,dire,,disturbing,disagreeable,monstrous
recessive,coy,disturbed,irresolute,spooked,,jumpy,alarmed,worried,,,jittery,playful,disturbed,,,reserved,,,,,,,,,,,,shaking,,,uneasy,amoebalike,,shaking,unmasculine,,tricky,,,lily-livered,embarrass,,lily-livered,tense,hesitant,dismaying,,gross,abominable,,itching,lamentable,,lousy,,awful,,anemic,,disquieting,ferocious,sanguine,loathsome,,ugly,frightful,graphic,horrid,horrifying,malignant,,,nauseating,inauspicious,awkward,proud,shocking,monumental,scary,disgusting,,dread,execrable,terrific
reserved,fainthearted,frozen,lazy,bothered,,nervy,bothered,moving,,,jumpy,scatterbrained,fearsome,,,retiring,,,,,,,,,,,,tremulous,,,athirst,faint-hearted,,timid,,,unethical,,,mousy,unhinge,,mousy,agitated,nervous,daunting,,hairy,alarming,,shuddersome,grim,,bad,,fearful,,ashen,,distressing,fierce,sick,monstrous,,grisly,lousy,hideous,spookish,huge,monstrous,,,stupefying,injurious,aberrant,resplendent,awesome,massive,sepulchral,evil,,fearful,fearful,rotten
retiring,intimidated,horrified,unpredictable,distressed,,overwrought,disturbed,worrying,,,lily-livered,sensitive,frozen,,,shrinking,,,,,,,,,,,,unsound,,,appetent,forceless,,timorous,,,unprincipled,,,nerveless,annoy,,nerveless,jittery,scared,petrifying,,monstrous,deplorable,,,burning,,shocking,,frightful,,bloodless,,disturbing,forbidding,yucky,offensive,,weird,cruel,horrible,,enormous,moody,,,abominable,lowering,abnormal,sacred,horrifying,appalling,spectral,execrable,,hateful,gross,tragic
disinclined,irresolute,intimidated,vacillating,disturbed,,shaking,fidgety,unnerved,,,mousy,spirited,funky,,,suspicious,,,,,,,,,,,,unsure,,,caring,pithless,,wavering,,,tawny,,,nervy,discomfit,,nervy,frightened,anxious,scaring,,nefarious,fearful,,,clamant,,beastly,,redoubtable,,cadaverous,,grave,foreboding,blood-stained,repugnant,,animal,shocking,livid,,impressive,saturnine,,,atrocious,malign,astounding,spiritual,awe-inspiring,awful,spooky,fearful,,dreaded,loathsome,hideous
indisposed,mousy,panic-stricken,wavering,excitable,,shaky,fretful,clutched,,,shaky,undependable,panic-stricken,,,timorous,,,,,,,,,,,,vacillating,,,,weak-kneed,,aquiver,,,xanthous,,,perturbed,disturb,,perturbed,skittish,uneasy,unnerving,,villainous,gross,,,clamorous,,creepy,,shocking,,dim,,harmful,formidable,grody,repulsive,,beast,beastly,melodramatic,,colossal,sick,,,desperate,malignant,atypical,stately,beastly,blimp,sublime,frightening,,horrifyin,lousy,grievous
loner,pusillanimous,perplexed,dawdling,fidgety,,solicitous,irascible,choked,,,sissy,unreliable,petrified,,,unobtrusive,,,,,,,,,,,,wavering,,,,yellow-bellied,,aspen,,,,,,phobic,faze,,phobic,panicky,tense,fearful,,wicked,grungy,,,crying,,fearful,,terrible,,disgusting,,heavy,frightful,,sick,,bestial,detestable,off-color,,magnificent,somber,,,detestable,obnoxious,eccentric,super,desperate,deafening,superhuman,frightful,,,,shameful
introvert,retiring,perturbed,faltering,fitful,,taut,jumpy,rigid,,,uptight,whimsical,stunned,,,withdrawn,,,,,,,,,,,,yielding,,,,,,palpitating,,,,,,pusillanimous,bother,,pusillanimous,afraid,agitated,formidable,,godawful,offensive,,,exigent,,formidable,,threatening,,faint,,hurtful,funereal,,spine-tingling,,detestable,disagreeable,offensive,,immense,sullen,,,direful,pernicious,erratic,transcendental,dread,fearful,uncanny,loathsome,,,,dire
shrinking,shaky,petrified,uneager,high-strung,,troubled,peevish,taut,,,shivery,zippy,suspicious,,,constrained,,,,,,,,,,,,aquiver,,,,,,quavering,,,,,,shaky,upset,,shaky,fearful,jittery,grim,,grody,raunchy,,,immoderate,,frozen,,horrific,,funereal,,injurious,grouchy,,daunting,,gross,execrable,purple,,monumental,unhealthy,,,fearful,poisonous,exceptional,splendorous,fearful,frightful,ungodly,nameless,,,,awful
scant,soft,startled,,nervy,,watchful,perplexed,fidgety,,,chicken-hearted,agitable,terrified,,,blenching,,,,,,,,,,,,quivery,,,,,,trembling,,,,,,sheepish,nettle,,sheepish,anxious,frightened,horrid,,bad,repulsive,,,imperative,,gross,,dismaying,,haggard,,mournful,grumpy,,grody,,loathsome,fairy,raunchy,,mammoth,unsound,,,formidable,portentous,far-out,splendiferous,hateful,gargantuan,unholy,obnoxious,,,,grim
wanting,spineless,stunned,,neurotic,,wired,perturbed,high-strung,,,jellyfish,alarmable,timorous,,,flinching,,,,,,,,,,,,tottering,,,,,,,,,,,,shrinking,harass,,shrinking,startled,skittish,grody,,beastly,stinking,,,importunate,,icky,,colossal,,livid,,offensive,hideous,,,,morbid,fearful,rough,,massive,unusual,,,frightful,unfavorable,idiosyncratic,,inconvenient,gigantic,unreasonable,offensive,,,,terrible
scanty,spiritless,terrified,,overwrought,,wreck,restive,jumpy,,,rabbity,volative,upset,,,rabbity,,,,,,,,,,,,tottery,,,,,,,,,,,,solicitous,harry,,solicitous,panicky,panicky,,,detestable,synthetic,,,instant,,mean,,hard,,loathsome,,onerous,implacable,,,,offensive,loathsome,salty,,towering,unwholesome,,,hateful,unfortunate,ignorant,,loathsome,humongous,weird,outrageous,,,,appalling
short,submissive,timorous,,querulous,,shivery,shaken,nerve-racking,,,terror-stricken,,worried,,,unassertive,,,,,,,,,,,,tumbledown,,,,,,,,,,,,spineless,,,spineless,unnerved,doubtful,,,disgusting,unsightly,,,pressing,,spooky,,indomitable,,mortuary,,oppressive,inexorable,,,,repellent,lurid,sanguine,,gigantic,horrid,,,hideous,unlucky,inexperienced,,monstrous,jumbo,demoniac,overwhelming,,,,frightful
averse,timorous,upset,,restive,,unquiet,upset,overwrought,,,,,aroused,,,unassured,,,,,,,,,,,,aquake,,,,,,,,,,,,timorous,,,timorous,spooked,wishy-washy,,,execrable,grody,,,climacteric,,wicked,,labored,,nauseating,,pathetic,intractable,,,,repugnant,mean,savage,,gargantuan,brooding,,,loathsome,unpropitious,irregular,,obnoxious,large,hyperphysical,preternatural,,,,lousy
backward,vacillating,worried,,sensitive,,bugged,worried,queasy,,,,,cowed,,,unpoised,,,,,,,,,,,,ashake,,,,,,,,,,,,tremulous,,,tremulous,shy,hesitant,,,foul,,,,black,,godawful,,laborious,,offensive,,pitiful,merciless,,,,sick,obnoxious,sinister,,tremendous,infected,,,monstrous,woeful,marvelous,,odious,mammoth,,repellent,,,,bad
chary,badgered,aroused,,shrinking,,butterflies,wrung,restless,,,,,daunted,,,,,,,,,,,,,,,faltering,,,,,,,,,,,,unmanly,,,unmanly,unsure,tentative,,,gross,,,,cruel,,grody,,mammoth,,pallid,,sad,morose,,,,sickening,offensive,terrible,,aberrant,,,,odious,blackhearted,newfangled,,offensive,monstrous,,repugnant,,,,shocking
conscious,browbeaten,cowed,,snappish,,choked,constrained,uptight,,,,,disheartened,,,,,,,,,,,,,,,fluctuant,,,,,,,,,,,,worried,,,worried,petrified,submissive,,,icky,,,,deplorable,,shuddersome,,mighty,,repellent,,sharp,relentless,,,,unsightly,repellent,terrifying,,abnormal,,,,offensive,doomful,oddball,,poor,stupendous,,repulsive,,,,abhorrent
distrustful,bullied,daunted,,solicitous,,clutched,unquiet,unquiet,,,,,dismayed,,,,,,,,,,,,,,,jellylike,,,,,,,,,,,,yellow,,,yellow,abashed,subdued,,,loathsome,,,,fearful,,,,murder,,repulsive,,sorrowful,resolute,,,,uncomely,repulsive,yellow,,desperate,,,,repulsive,malefic,off,,repulsive,super,,revolting,,,,vile
loath,cowed,disheartened,,taut,,disquieted,discomposed,fluttery,,,,,faint-hearted,,,,,,,,,,,,,,,quaking,,,,,,,,,,,,chickenhearted,,,chickenhearted,frozen,deferential,,,noisome,,,,fierce,,,,overpowering,,sepulchral,,taxing,ruthless,,,,,revolting,horrid,,devilish,,,,scandalous,,out-of-the-way,,revolting,titanic,,horrid,,,,spiteful
shamefaced,cowering,dismayed,,timorous,,dreading,dismayed,hyper,,,,,rattled,,,,,,,,,,,,,,,rootless,,,,,,,,,,,,quivery,,,quivery,yellow,serene,,,obscene,,,,frightful,,,,rough,,spectral,,tough,severe,,,,,ungodly,low-down,,diabolical,,,,unspeakable,,perplexing,,rotten,towering,,incommunicable,,,,vicious
skittish,daunted,faint-hearted,,troubled,,hacked,disquieted,overanxious,,,,,terror-stricken,,,,,,,,,,,,,,,tremorous,,,,,,,,,,,,discomposed,,,aflutter,numb,passive,,,repulsive,,,,grievous,,,,staggering,,supernatural,,troublesome,sinister,,,,,unholy,,,disgraceful,,,,,,quaint,,unwelcome,whale,,indefinable,,,,disgusting
unresponsive,unassertive,rattled,,unstrung,,hyper,harassed,,,,,,trembling,,,,,,,,,,,,,,,unfirm,,,,,,,,,,,,disquieted,,,discomposed,terrified,gentle,,,sickening,,,,heartbreaking,,,,strenuous,,uncanny,,villainous,stubborn,,,,,unkind,,,evil,,,,,,queer,,vile,whopper,,inexpressible,,,,heinous
unwilling,unassured,spooked,,upset,,spooked,palpitant,,,,,,,,,,,,,,,,,,,,,indecisive,,,,,,,,,,,,goose-bumpy,,,disquieted,alarmed,docile,,,godawful,,,,portentous,,,,toilsome,,unearthly,,weighty,sulky,,,,,sickie,,,fiendish,,,,,,singular,,dreaded,whopping,,unutterable,,,,despicable
unassertive,unnerved,terror-stricken,,wired,,unglued,tormented,,,,,,,,,,,,,,,,,,,,,problematic,,,,,,,,,,,,rabbity,,,rabbity,terrorized,timid,,,grody,,,,redoubtable,,,,uphill,,unnatural,,upsetting,sullen,,,,,,,,flagitious,,,,,,unaccountable,,petrifying,cracking,,,,,,repulsive
unassured,,trembling,,worried,,agog,vexed,,,,,,,,,,,,,,,,,,,,,suspect,,,,,,,,,,,,weak-kneed,,,weak-kneed,affrighted,unassuming,,,,,,,regrettable,,,,effortful,,wan,,afflicting,surly,,,,,,,,foul,,,,,,unaccustomed,,unnerving,mondo,,,,,,ornery
uneager,,averse,,twitchy,,ardent,,,,,,,,,,,,,,,,,,,,,,undependable,,,,,,,,,,,,,,,,butterflies,poor,,,,,,,ruinous,,,,puissant,,weak,,heart-rending,truculent,,,,,,,,hellish,,,,,,uncanny,,,,,,,,,odious
uneffusive,,backward,,flustered,,avid,,,,,,,,,,,,,,,,,,,,,,unreliable,,,,,,,,,,,,,,,,dismayed,flat,,,,,,,terrific,,,,all-powerful,,deathlike,,wounding,unrelenting,,,,,,,,loathsome,,,,,,uncommon,,,,,,,,,bitter
unsocial,,disinclined,,ruffled,,breathless,,,,,,,,,,,,,,,,,,,,,,unsound,,,,,,,,,,,,,,,,cowed,shallow,,,,,,,woeful,,,,ballbuster,,corpselike,,,unyielding,,,,,,,,macabre,,,,,,unseasoned,,,,,,,,,alarming
deficient,,indisposed,,unrestful,,desirous,,,,,,,,,,,,,,,,,,,,,,unsure,,,,,,,,,,,,,,,,reserved,meager,,,,,,,afflictive,,,,dismaying,,wraithlike,,,crabbed,,,,,,,,morbid,,,,,,mystifying,,,,,,,,,frightening
inadequate,,uneager,,,,expectant,,,,,,,,,,,,,,,,,,,,,,unsupported,,,,,,,,,,,,,,,,humble,flimsy,,,,,,,horrid,,,,,,,,,glowering,,,,,,,,ominous,,,,,,apart,,,,,,,,,direful
insufficient,,,,,,fervent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quiet,sparse,,,,,,,oppressing,,,,,,,,,scowling,,,,,,,,rank,,,,,,detached,,,,,,,,,dreadful
scarce,,,,,,intent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrawn,thick,,,,,,,scowling,,,,,,,,,splenetic,,,,,,,,satanic,,,,,,external,,,,,,,,,gruesome
unsufficient,,,,,,yearning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinking,transparent,,,,,,,,,,,,,,,,,,,,,,,,scandalous,,,,,,faraway,,,,,,,,,hair-raising
,,,,,,zealous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restrained,skimpy,,,,,,,,,,,,,,,,,,,,,,,,uncanny,,,,,,irrelevant,,,,,,,,,horrible
,,,,,,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrawing,indecisive,,,,,,,,,,,,,,,,,,,,,,,,unusual,,,,,,isolated,,,,,,,,,itchy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward,uncertain,,,,,,,,,,,,,,,,,,,,,,,,villainous,,,,,,lost,,,,,,,,,nightmarish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blushing,hesitant,,,,,,,,,,,,,,,,,,,,,,,,miscreated,,,,,,novel,,,,,,,,,threatening
